"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Embarked","group_age","Embarked_cat"
52,0,3,"male",21,0,0,"S","18-60",1
53,1,1,"female",49,1,0,"C","18-60",2
54,1,2,"female",29,1,0,"S","18-60",1
55,0,1,"male",65,0,1,"C",">60",2
56,1,1,"male",22,0,0,"S","18-60",1
57,1,2,"female",21,0,0,"S","18-60",1
58,0,3,"male",28.5,0,0,"C","18-60",2
59,1,2,"female",5,1,2,"S","menors",1
60,0,3,"male",11,5,2,"S","menors",1
61,0,3,"male",22,0,0,"C","18-60",2
62,1,1,"female",38,0,0,"S","18-60",1
63,0,1,"male",45,1,0,"S","18-60",1
64,0,3,"male",4,3,2,"S","menors",1
65,0,1,"male",22,0,0,"C","18-60",2
66,1,3,"male",22,1,1,"C","18-60",2
67,1,2,"female",29,0,0,"S","18-60",1
68,0,3,"male",19,0,0,"S","18-60",1
69,1,3,"female",17,4,2,"S","menors",1
70,0,3,"male",26,2,0,"S","18-60",1
71,0,2,"male",32,0,0,"S","18-60",1
72,0,3,"female",16,5,2,"S","menors",1
73,0,2,"male",21,0,0,"S","18-60",1
74,0,3,"male",26,1,0,"C","18-60",2
75,1,3,"male",32,0,0,"S","18-60",1
76,0,3,"male",25,0,0,"S","18-60",1
77,0,3,"male",22,0,0,"S","18-60",1
78,0,3,"male",22,0,0,"S","18-60",1
79,1,2,"male",0.83,0,2,"S","menors",1
80,1,3,"female",30,0,0,"S","18-60",1
81,0,3,"male",22,0,0,"S","18-60",1
82,1,3,"male",29,0,0,"S","18-60",1
83,1,3,"female",23,0,0,"Q","18-60",3
84,0,1,"male",28,0,0,"S","18-60",1
85,1,2,"female",17,0,0,"S","menors",1
86,1,3,"female",33,3,0,"S","18-60",1
87,0,3,"male",16,1,3,"S","menors",1
88,0,3,"male",22,0,0,"S","18-60",1
89,1,1,"female",23,3,2,"S","18-60",1
90,0,3,"male",24,0,0,"S","18-60",1
91,0,3,"male",29,0,0,"S","18-60",1
92,0,3,"male",20,0,0,"S","18-60",1
93,0,1,"male",46,1,0,"S","18-60",1
94,0,3,"male",26,1,2,"S","18-60",1
95,0,3,"male",59,0,0,"S","18-60",1
96,0,3,"male",22,0,0,"S","18-60",1
97,0,1,"male",71,0,0,"C",">60",2
98,1,1,"male",23,0,1,"C","18-60",2
99,1,2,"female",34,0,1,"S","18-60",1
100,0,2,"male",34,1,0,"S","18-60",1
101,0,3,"female",28,0,0,"S","18-60",1
102,0,3,"male",22,0,0,"S","18-60",1
103,0,1,"male",21,0,1,"S","18-60",1
104,0,3,"male",33,0,0,"S","18-60",1
105,0,3,"male",37,2,0,"S","18-60",1
106,0,3,"male",28,0,0,"S","18-60",1
107,1,3,"female",21,0,0,"S","18-60",1
108,1,3,"male",22,0,0,"S","18-60",1
109,0,3,"male",38,0,0,"S","18-60",1
110,1,3,"female",23,1,0,"Q","18-60",3
111,0,1,"male",47,0,0,"S","18-60",1
112,0,3,"female",14.5,1,0,"C","menors",2
113,0,3,"male",22,0,0,"S","18-60",1
114,0,3,"female",20,1,0,"S","18-60",1
115,0,3,"female",17,0,0,"C","menors",2
116,0,3,"male",21,0,0,"S","18-60",1
117,0,3,"male",70.5,0,0,"Q",">60",3
118,0,2,"male",29,1,0,"S","18-60",1
119,0,1,"male",24,0,1,"C","18-60",2
120,0,3,"female",2,4,2,"S","menors",1
121,0,2,"male",21,2,0,"S","18-60",1
122,0,3,"male",22,0,0,"S","18-60",1
123,0,2,"male",32.5,1,0,"C","18-60",2
124,1,2,"female",32.5,0,0,"S","18-60",1
125,0,1,"male",54,0,1,"S","18-60",1
126,1,3,"male",12,1,0,"C","menors",2
127,0,3,"male",22,0,0,"Q","18-60",3
128,1,3,"male",24,0,0,"S","18-60",1
129,1,3,"female",23,1,1,"C","18-60",2
130,0,3,"male",45,0,0,"S","18-60",1
131,0,3,"male",33,0,0,"C","18-60",2
132,0,3,"male",20,0,0,"S","18-60",1
133,0,3,"female",47,1,0,"S","18-60",1
134,1,2,"female",29,1,0,"S","18-60",1
135,0,2,"male",25,0,0,"S","18-60",1
136,0,2,"male",23,0,0,"C","18-60",2
137,1,1,"female",19,0,2,"S","18-60",1
138,0,1,"male",37,1,0,"S","18-60",1
139,0,3,"male",16,0,0,"S","menors",1
140,0,1,"male",24,0,0,"C","18-60",2
141,0,3,"female",23,0,2,"C","18-60",2
142,1,3,"female",22,0,0,"S","18-60",1
143,1,3,"female",24,1,0,"S","18-60",1
144,0,3,"male",19,0,0,"Q","18-60",3
145,0,2,"male",18,0,0,"S","18-60",1
146,0,2,"male",19,1,1,"S","18-60",1
147,1,3,"male",27,0,0,"S","18-60",1
148,0,3,"female",9,2,2,"S","menors",1
149,0,2,"male",36.5,0,2,"S","18-60",1
150,0,2,"male",42,0,0,"S","18-60",1
151,0,2,"male",51,0,0,"S","18-60",1
152,1,1,"female",22,1,0,"S","18-60",1
153,0,3,"male",55.5,0,0,"S","18-60",1
154,0,3,"male",40.5,0,2,"S","18-60",1
155,0,3,"male",22,0,0,"S","18-60",1
156,0,1,"male",51,0,1,"C","18-60",2
157,1,3,"female",16,0,0,"Q","menors",3
158,0,3,"male",30,0,0,"S","18-60",1
159,0,3,"male",22,0,0,"S","18-60",1
160,0,3,"male",22,8,2,"S","18-60",1
161,0,3,"male",44,0,1,"S","18-60",1
162,1,2,"female",40,0,0,"S","18-60",1
163,0,3,"male",26,0,0,"S","18-60",1
164,0,3,"male",17,0,0,"S","menors",1
165,0,3,"male",1,4,1,"S","menors",1
166,1,3,"male",9,0,2,"S","menors",1
167,1,1,"female",23,0,1,"S","18-60",1
168,0,3,"female",45,1,4,"S","18-60",1
169,0,1,"male",22,0,0,"S","18-60",1
170,0,3,"male",28,0,0,"S","18-60",1
171,0,1,"male",61,0,0,"S",">60",1
172,0,3,"male",4,4,1,"Q","menors",3
173,1,3,"female",1,1,1,"S","menors",1
174,0,3,"male",21,0,0,"S","18-60",1
175,0,1,"male",56,0,0,"C","18-60",2
176,0,3,"male",18,1,1,"S","18-60",1
177,0,3,"male",22,3,1,"S","18-60",1
178,0,1,"female",50,0,0,"C","18-60",2
179,0,2,"male",30,0,0,"S","18-60",1
180,0,3,"male",36,0,0,"S","18-60",1
181,0,3,"female",23,8,2,"S","18-60",1
182,0,2,"male",22,0,0,"C","18-60",2
183,0,3,"male",9,4,2,"S","menors",1
184,1,2,"male",1,2,1,"S","menors",1
185,1,3,"female",4,0,2,"S","menors",1
186,0,1,"male",22,0,0,"S","18-60",1
187,1,3,"female",23,1,0,"Q","18-60",3
188,1,1,"male",45,0,0,"S","18-60",1
189,0,3,"male",40,1,1,"Q","18-60",3
190,0,3,"male",36,0,0,"S","18-60",1
191,1,2,"female",32,0,0,"S","18-60",1
192,0,2,"male",19,0,0,"S","18-60",1
193,1,3,"female",19,1,0,"S","18-60",1
194,1,2,"male",3,1,1,"S","menors",1
195,1,1,"female",44,0,0,"C","18-60",2
196,1,1,"female",58,0,0,"C","18-60",2
197,0,3,"male",22,0,0,"Q","18-60",3
198,0,3,"male",42,0,1,"S","18-60",1
199,1,3,"female",23,0,0,"Q","18-60",3
200,0,2,"female",24,0,0,"S","18-60",1
201,0,3,"male",28,0,0,"S","18-60",1
202,0,3,"male",22,8,2,"S","18-60",1
203,0,3,"male",34,0,0,"S","18-60",1
204,0,3,"male",45.5,0,0,"C","18-60",2
205,1,3,"male",18,0,0,"S","18-60",1
206,0,3,"female",2,0,1,"S","menors",1
207,0,3,"male",32,1,0,"S","18-60",1
208,1,3,"male",26,0,0,"C","18-60",2
209,1,3,"female",16,0,0,"Q","menors",3
210,1,1,"male",40,0,0,"C","18-60",2
211,0,3,"male",24,0,0,"S","18-60",1
212,1,2,"female",35,0,0,"S","18-60",1
213,0,3,"male",22,0,0,"S","18-60",1
214,0,2,"male",30,0,0,"S","18-60",1
215,0,3,"male",22,1,0,"Q","18-60",3
216,1,1,"female",31,1,0,"C","18-60",2
217,1,3,"female",27,0,0,"S","18-60",1
218,0,2,"male",42,1,0,"S","18-60",1
219,1,1,"female",32,0,0,"C","18-60",2
220,0,2,"male",30,0,0,"S","18-60",1
221,1,3,"male",16,0,0,"S","menors",1
222,0,2,"male",27,0,0,"S","18-60",1
223,0,3,"male",51,0,0,"S","18-60",1
224,0,3,"male",22,0,0,"S","18-60",1
225,1,1,"male",38,1,0,"S","18-60",1
226,0,3,"male",22,0,0,"S","18-60",1
227,1,2,"male",19,0,0,"S","18-60",1
228,0,3,"male",20.5,0,0,"S","18-60",1
229,0,2,"male",18,0,0,"S","18-60",1
230,0,3,"female",23,3,1,"S","18-60",1
231,1,1,"female",35,1,0,"S","18-60",1
232,0,3,"male",29,0,0,"S","18-60",1
233,0,2,"male",59,0,0,"S","18-60",1
234,1,3,"female",5,4,2,"S","menors",1
235,0,2,"male",24,0,0,"S","18-60",1
236,0,3,"female",23,0,0,"S","18-60",1
237,0,2,"male",44,1,0,"S","18-60",1
238,1,2,"female",8,0,2,"S","menors",1
239,0,2,"male",19,0,0,"S","18-60",1
240,0,2,"male",33,0,0,"S","18-60",1
241,0,3,"female",23,1,0,"C","18-60",2
242,1,3,"female",23,1,0,"Q","18-60",3
243,0,2,"male",29,0,0,"S","18-60",1
244,0,3,"male",22,0,0,"S","18-60",1
245,0,3,"male",30,0,0,"C","18-60",2
246,0,1,"male",44,2,0,"Q","18-60",3
247,0,3,"female",25,0,0,"S","18-60",1
248,1,2,"female",24,0,2,"S","18-60",1
249,1,1,"male",37,1,1,"S","18-60",1
250,0,2,"male",54,1,0,"S","18-60",1
251,0,3,"male",22,0,0,"S","18-60",1
252,0,3,"female",29,1,1,"S","18-60",1
253,0,1,"male",62,0,0,"S",">60",1
254,0,3,"male",30,1,0,"S","18-60",1
255,0,3,"female",41,0,2,"S","18-60",1
256,1,3,"female",29,0,2,"C","18-60",2
257,1,1,"female",23,0,0,"C","18-60",2
258,1,1,"female",30,0,0,"S","18-60",1
259,1,1,"female",35,0,0,"C","18-60",2
260,1,2,"female",50,0,1,"S","18-60",1
261,0,3,"male",22,0,0,"Q","18-60",3
262,1,3,"male",3,4,2,"S","menors",1
263,0,1,"male",52,1,1,"S","18-60",1
264,0,1,"male",40,0,0,"S","18-60",1
265,0,3,"female",23,0,0,"Q","18-60",3
266,0,2,"male",36,0,0,"S","18-60",1
267,0,3,"male",16,4,1,"S","menors",1
268,1,3,"male",25,1,0,"S","18-60",1
269,1,1,"female",58,0,1,"S","18-60",1
270,1,1,"female",35,0,0,"S","18-60",1
271,0,1,"male",22,0,0,"S","18-60",1
272,1,3,"male",25,0,0,"S","18-60",1
273,1,2,"female",41,0,1,"S","18-60",1
274,0,1,"male",37,0,1,"C","18-60",2
275,1,3,"female",23,0,0,"Q","18-60",3
276,1,1,"female",63,1,0,"S",">60",1
277,0,3,"female",45,0,0,"S","18-60",1
278,0,2,"male",22,0,0,"S","18-60",1
279,0,3,"male",7,4,1,"Q","menors",3
280,1,3,"female",35,1,1,"S","18-60",1
281,0,3,"male",65,0,0,"Q",">60",3
282,0,3,"male",28,0,0,"S","18-60",1
283,0,3,"male",16,0,0,"S","menors",1
284,1,3,"male",19,0,0,"S","18-60",1
285,0,1,"male",22,0,0,"S","18-60",1
286,0,3,"male",33,0,0,"C","18-60",2
287,1,3,"male",30,0,0,"S","18-60",1
288,0,3,"male",22,0,0,"S","18-60",1
289,1,2,"male",42,0,0,"S","18-60",1
290,1,3,"female",22,0,0,"Q","18-60",3
291,1,1,"female",26,0,0,"S","18-60",1
292,1,1,"female",19,1,0,"C","18-60",2
293,0,2,"male",36,0,0,"C","18-60",2
294,0,3,"female",24,0,0,"S","18-60",1
295,0,3,"male",24,0,0,"S","18-60",1
296,0,1,"male",22,0,0,"C","18-60",2
297,0,3,"male",23.5,0,0,"C","18-60",2
298,0,1,"female",2,1,2,"S","menors",1
299,1,1,"male",22,0,0,"S","18-60",1
300,1,1,"female",50,0,1,"C","18-60",2
301,1,3,"female",23,0,0,"Q","18-60",3
302,1,3,"male",22,2,0,"Q","18-60",3
303,0,3,"male",19,0,0,"S","18-60",1
304,1,2,"female",23,0,0,"Q","18-60",3
305,0,3,"male",22,0,0,"S","18-60",1
306,1,1,"male",0.92,1,2,"S","menors",1
307,1,1,"female",23,0,0,"C","18-60",2
308,1,1,"female",17,1,0,"C","menors",2
309,0,2,"male",30,1,0,"C","18-60",2
310,1,1,"female",30,0,0,"C","18-60",2
311,1,1,"female",24,0,0,"C","18-60",2
312,1,1,"female",18,2,2,"C","18-60",2
313,0,2,"female",26,1,1,"S","18-60",1
314,0,3,"male",28,0,0,"S","18-60",1
315,0,2,"male",43,1,1,"S","18-60",1
316,1,3,"female",26,0,0,"S","18-60",1
317,1,2,"female",24,1,0,"S","18-60",1
318,0,2,"male",54,0,0,"S","18-60",1
319,1,1,"female",31,0,2,"S","18-60",1
320,1,1,"female",40,1,1,"C","18-60",2
321,0,3,"male",22,0,0,"S","18-60",1
322,0,3,"male",27,0,0,"S","18-60",1
323,1,2,"female",30,0,0,"Q","18-60",3
324,1,2,"female",22,1,1,"S","18-60",1
325,0,3,"male",22,8,2,"S","18-60",1
326,1,1,"female",36,0,0,"C","18-60",2
327,0,3,"male",61,0,0,"S",">60",1
328,1,2,"female",36,0,0,"S","18-60",1
329,1,3,"female",31,1,1,"S","18-60",1
330,1,1,"female",16,0,1,"C","menors",2
331,1,3,"female",23,2,0,"Q","18-60",3
332,0,1,"male",45.5,0,0,"S","18-60",1
333,0,1,"male",38,0,1,"S","18-60",1
334,0,3,"male",16,2,0,"S","menors",1
335,1,1,"female",23,1,0,"S","18-60",1
336,0,3,"male",22,0,0,"S","18-60",1
337,0,1,"male",29,1,0,"S","18-60",1
338,1,1,"female",41,0,0,"C","18-60",2
339,1,3,"male",45,0,0,"S","18-60",1
340,0,1,"male",45,0,0,"S","18-60",1
341,1,2,"male",2,1,1,"S","menors",1
342,1,1,"female",24,3,2,"S","18-60",1
343,0,2,"male",28,0,0,"S","18-60",1
344,0,2,"male",25,0,0,"S","18-60",1
345,0,2,"male",36,0,0,"S","18-60",1
346,1,2,"female",24,0,0,"S","18-60",1
347,1,2,"female",40,0,0,"S","18-60",1
348,1,3,"female",23,1,0,"S","18-60",1
349,1,3,"male",3,1,1,"S","menors",1
350,0,3,"male",42,0,0,"S","18-60",1
351,0,3,"male",23,0,0,"S","18-60",1
352,0,1,"male",22,0,0,"S","18-60",1
353,0,3,"male",15,1,1,"C","menors",2
354,0,3,"male",25,1,0,"S","18-60",1
355,0,3,"male",22,0,0,"C","18-60",2
356,0,3,"male",28,0,0,"S","18-60",1
357,1,1,"female",22,0,1,"S","18-60",1
358,0,2,"female",38,0,0,"S","18-60",1
359,1,3,"female",23,0,0,"Q","18-60",3
360,1,3,"female",23,0,0,"Q","18-60",3
361,0,3,"male",40,1,4,"S","18-60",1
362,0,2,"male",29,1,0,"C","18-60",2
363,0,3,"female",45,0,1,"C","18-60",2
364,0,3,"male",35,0,0,"S","18-60",1
365,0,3,"male",22,1,0,"Q","18-60",3
366,0,3,"male",30,0,0,"S","18-60",1
367,1,1,"female",60,1,0,"C","18-60",2
368,1,3,"female",23,0,0,"C","18-60",2
369,1,3,"female",23,0,0,"Q","18-60",3
370,1,1,"female",24,0,0,"C","18-60",2
371,1,1,"male",25,1,0,"C","18-60",2
372,0,3,"male",18,1,0,"S","18-60",1
373,0,3,"male",19,0,0,"S","18-60",1
374,0,1,"male",22,0,0,"C","18-60",2
375,0,3,"female",3,3,1,"S","menors",1
376,1,1,"female",23,1,0,"C","18-60",2
377,1,3,"female",22,0,0,"S","18-60",1
378,0,1,"male",27,0,2,"C","18-60",2
379,0,3,"male",20,0,0,"C","18-60",2
380,0,3,"male",19,0,0,"S","18-60",1
381,1,1,"female",42,0,0,"C","18-60",2
382,1,3,"female",1,0,2,"C","menors",2
383,0,3,"male",32,0,0,"S","18-60",1
384,1,1,"female",35,1,0,"S","18-60",1
385,0,3,"male",22,0,0,"S","18-60",1
386,0,2,"male",18,0,0,"S","18-60",1
387,0,3,"male",1,5,2,"S","menors",1
388,1,2,"female",36,0,0,"S","18-60",1
389,0,3,"male",22,0,0,"Q","18-60",3
390,1,2,"female",17,0,0,"C","menors",2
391,1,1,"male",36,1,2,"S","18-60",1
392,1,3,"male",21,0,0,"S","18-60",1
393,0,3,"male",28,2,0,"S","18-60",1
394,1,1,"female",23,1,0,"C","18-60",2
395,1,3,"female",24,0,2,"S","18-60",1
396,0,3,"male",22,0,0,"S","18-60",1
397,0,3,"female",31,0,0,"S","18-60",1
398,0,2,"male",46,0,0,"S","18-60",1
399,0,2,"male",23,0,0,"S","18-60",1
400,1,2,"female",28,0,0,"S","18-60",1
401,1,3,"male",39,0,0,"S","18-60",1
402,0,3,"male",26,0,0,"S","18-60",1
403,0,3,"female",21,1,0,"S","18-60",1
404,0,3,"male",28,1,0,"S","18-60",1
405,0,3,"female",20,0,0,"S","18-60",1
406,0,2,"male",34,1,0,"S","18-60",1
407,0,3,"male",51,0,0,"S","18-60",1
408,1,2,"male",3,1,1,"S","menors",1
409,0,3,"male",21,0,0,"S","18-60",1
410,0,3,"female",23,3,1,"S","18-60",1
411,0,3,"male",22,0,0,"S","18-60",1
412,0,3,"male",22,0,0,"Q","18-60",3
413,1,1,"female",33,1,0,"Q","18-60",3
414,0,2,"male",22,0,0,"S","18-60",1
415,1,3,"male",44,0,0,"S","18-60",1
416,0,3,"female",23,0,0,"S","18-60",1
417,1,2,"female",34,1,1,"S","18-60",1
418,1,2,"female",18,0,2,"S","18-60",1
419,0,2,"male",30,0,0,"S","18-60",1
420,0,3,"female",10,0,2,"S","menors",1
421,0,3,"male",22,0,0,"C","18-60",2
422,0,3,"male",21,0,0,"Q","18-60",3
423,0,3,"male",29,0,0,"S","18-60",1
424,0,3,"female",28,1,1,"S","18-60",1
425,0,3,"male",18,1,1,"S","18-60",1
426,0,3,"male",22,0,0,"S","18-60",1
427,1,2,"female",28,1,0,"S","18-60",1
428,1,2,"female",19,0,0,"S","18-60",1
429,0,3,"male",22,0,0,"Q","18-60",3
430,1,3,"male",32,0,0,"S","18-60",1
431,1,1,"male",28,0,0,"S","18-60",1
432,1,3,"female",23,1,0,"S","18-60",1
433,1,2,"female",42,1,0,"S","18-60",1
434,0,3,"male",17,0,0,"S","menors",1
435,0,1,"male",50,1,0,"S","18-60",1
436,1,1,"female",14,1,2,"S","menors",1
437,0,3,"female",21,2,2,"S","18-60",1
438,1,2,"female",24,2,3,"S","18-60",1
439,0,1,"male",64,1,4,"S",">60",1
440,0,2,"male",31,0,0,"S","18-60",1
441,1,2,"female",45,1,1,"S","18-60",1
442,0,3,"male",20,0,0,"S","18-60",1
443,0,3,"male",25,1,0,"S","18-60",1
444,1,2,"female",28,0,0,"S","18-60",1
445,1,3,"male",22,0,0,"S","18-60",1
446,1,1,"male",4,0,2,"S","menors",1
447,1,2,"female",13,0,1,"S","menors",1
448,1,1,"male",34,0,0,"S","18-60",1
449,1,3,"female",5,2,1,"C","menors",2
450,1,1,"male",52,0,0,"S","18-60",1
451,0,2,"male",36,1,2,"S","18-60",1
452,0,3,"male",22,1,0,"S","18-60",1
453,0,1,"male",30,0,0,"C","18-60",2
454,1,1,"male",49,1,0,"C","18-60",2
455,0,3,"male",22,0,0,"S","18-60",1
456,1,3,"male",29,0,0,"C","18-60",2
457,0,1,"male",65,0,0,"S",">60",1
458,1,1,"female",23,1,0,"S","18-60",1
459,1,2,"female",50,0,0,"S","18-60",1
460,0,3,"male",22,0,0,"Q","18-60",3
461,1,1,"male",48,0,0,"S","18-60",1
462,0,3,"male",34,0,0,"S","18-60",1
463,0,1,"male",47,0,0,"S","18-60",1
464,0,2,"male",48,0,0,"S","18-60",1
465,0,3,"male",22,0,0,"S","18-60",1
466,0,3,"male",38,0,0,"S","18-60",1
467,0,2,"male",22,0,0,"S","18-60",1
468,0,1,"male",56,0,0,"S","18-60",1
469,0,3,"male",22,0,0,"Q","18-60",3
470,1,3,"female",0.75,2,1,"C","menors",2
471,0,3,"male",22,0,0,"S","18-60",1
472,0,3,"male",38,0,0,"S","18-60",1
473,1,2,"female",33,1,2,"S","18-60",1
474,1,2,"female",23,0,0,"C","18-60",2
475,0,3,"female",22,0,0,"S","18-60",1
476,0,1,"male",22,0,0,"S","18-60",1
477,0,2,"male",34,1,0,"S","18-60",1
478,0,3,"male",29,1,0,"S","18-60",1
479,0,3,"male",22,0,0,"S","18-60",1
480,1,3,"female",2,0,1,"S","menors",1
481,0,3,"male",9,5,2,"S","menors",1
482,0,2,"male",22,0,0,"S","18-60",1
483,0,3,"male",50,0,0,"S","18-60",1
484,1,3,"female",63,0,0,"S",">60",1
485,1,1,"male",25,1,0,"C","18-60",2
486,0,3,"female",23,3,1,"S","18-60",1
487,1,1,"female",35,1,0,"S","18-60",1
488,0,1,"male",58,0,0,"C","18-60",2
489,0,3,"male",30,0,0,"S","18-60",1
490,1,3,"male",9,1,1,"S","menors",1
491,0,3,"male",22,1,0,"S","18-60",1
492,0,3,"male",21,0,0,"S","18-60",1
493,0,1,"male",55,0,0,"S","18-60",1
494,0,1,"male",71,0,0,"C",">60",2
495,0,3,"male",21,0,0,"S","18-60",1
496,0,3,"male",22,0,0,"C","18-60",2
497,1,1,"female",54,1,0,"C","18-60",2
498,0,3,"male",22,0,0,"S","18-60",1
499,0,1,"female",25,1,2,"S","18-60",1
500,0,3,"male",24,0,0,"S","18-60",1
501,0,3,"male",17,0,0,"S","menors",1
502,0,3,"female",21,0,0,"Q","18-60",3
503,0,3,"female",23,0,0,"Q","18-60",3
504,0,3,"female",37,0,0,"S","18-60",1
505,1,1,"female",16,0,0,"S","menors",1
506,0,1,"male",18,1,0,"C","18-60",2
507,1,2,"female",33,0,2,"S","18-60",1
508,1,1,"male",22,0,0,"S","18-60",1
509,0,3,"male",28,0,0,"S","18-60",1
510,1,3,"male",26,0,0,"S","18-60",1
511,1,3,"male",29,0,0,"Q","18-60",3
512,0,3,"male",22,0,0,"S","18-60",1
513,1,1,"male",36,0,0,"S","18-60",1
514,1,1,"female",54,1,0,"C","18-60",2
515,0,3,"male",24,0,0,"S","18-60",1
516,0,1,"male",47,0,0,"S","18-60",1
517,1,2,"female",34,0,0,"S","18-60",1
518,0,3,"male",22,0,0,"Q","18-60",3
519,1,2,"female",36,1,0,"S","18-60",1
520,0,3,"male",32,0,0,"S","18-60",1
521,1,1,"female",30,0,0,"S","18-60",1
522,0,3,"male",22,0,0,"S","18-60",1
523,0,3,"male",22,0,0,"C","18-60",2
524,1,1,"female",44,0,1,"C","18-60",2
525,0,3,"male",22,0,0,"C","18-60",2
526,0,3,"male",40.5,0,0,"Q","18-60",3
527,1,2,"female",50,0,0,"S","18-60",1
528,0,1,"male",22,0,0,"S","18-60",1
529,0,3,"male",39,0,0,"S","18-60",1
530,0,2,"male",23,2,1,"S","18-60",1
531,1,2,"female",2,1,1,"S","menors",1
532,0,3,"male",22,0,0,"C","18-60",2
533,0,3,"male",17,1,1,"C","menors",2
534,1,3,"female",23,0,2,"C","18-60",2
535,0,3,"female",30,0,0,"S","18-60",1
536,1,2,"female",7,0,2,"S","menors",1
537,0,1,"male",45,0,0,"S","18-60",1
538,1,1,"female",30,0,0,"C","18-60",2
539,0,3,"male",22,0,0,"S","18-60",1
540,1,1,"female",22,0,2,"C","18-60",2
541,1,1,"female",36,0,2,"S","18-60",1
542,0,3,"female",9,4,2,"S","menors",1
543,0,3,"female",11,4,2,"S","menors",1
544,1,2,"male",32,1,0,"S","18-60",1
545,0,1,"male",50,1,0,"C","18-60",2
546,0,1,"male",64,0,0,"S",">60",1
547,1,2,"female",19,1,0,"S","18-60",1
548,1,2,"male",22,0,0,"C","18-60",2
549,0,3,"male",33,1,1,"S","18-60",1
550,1,2,"male",8,1,1,"S","menors",1
551,1,1,"male",17,0,2,"C","menors",2
552,0,2,"male",27,0,0,"S","18-60",1
553,0,3,"male",22,0,0,"Q","18-60",3
554,1,3,"male",22,0,0,"C","18-60",2
555,1,3,"female",22,0,0,"S","18-60",1
556,0,1,"male",62,0,0,"S",">60",1
557,1,1,"female",48,1,0,"C","18-60",2
558,0,1,"male",22,0,0,"C","18-60",2
559,1,1,"female",39,1,1,"S","18-60",1
560,1,3,"female",36,1,0,"S","18-60",1
561,0,3,"male",22,0,0,"Q","18-60",3
562,0,3,"male",40,0,0,"S","18-60",1
563,0,2,"male",28,0,0,"S","18-60",1
564,0,3,"male",22,0,0,"S","18-60",1
565,0,3,"female",23,0,0,"S","18-60",1
566,0,3,"male",24,2,0,"S","18-60",1
567,0,3,"male",19,0,0,"S","18-60",1
568,0,3,"female",29,0,4,"S","18-60",1
569,0,3,"male",22,0,0,"C","18-60",2
570,1,3,"male",32,0,0,"S","18-60",1
571,1,2,"male",62,0,0,"S",">60",1
572,1,1,"female",53,2,0,"S","18-60",1
573,1,1,"male",36,0,0,"S","18-60",1
574,1,3,"female",23,0,0,"Q","18-60",3
575,0,3,"male",16,0,0,"S","menors",1
576,0,3,"male",19,0,0,"S","18-60",1
577,1,2,"female",34,0,0,"S","18-60",1
578,1,1,"female",39,1,0,"S","18-60",1
579,0,3,"female",23,1,0,"C","18-60",2
